Name,ID,X,Y,Sewer inputs,DWF enabled,Method,Units,Flow rate,Area,Density,Peaking factor,Winter water use,Landuse,Pattern,Pattern resolved
29-3-68,134,43838.44,59118.29,true,true,0,2,26,0,0,1,0,3,Daily1,Yes
29-3-69,134,43946.83,59086.6,,true,0,,,,,,,,,
29-3-7,134,43133.9,58970.91,,,,,,,,,,,,
29-3-70,134,44105.65,59026.08,true,true,0,2,143,0,0,1,0,3,Daily1,Yes
29-3-8,134,43207.63,59088.36,true,,,2,144,0,0,1,0,3,Daily1,Yes
29-4-20,134,41654.78,57010.05,true,,,2,101,0,0,1,0,3,Daily1,Yes
29-4-21,134,42000.13,57011.78,,,,,,,,,,,,
29-4-22,134,42348.65,57014.08,,,,,,,,,,,,
29-4-23,134,42650.77,57015.92,,,,,,,,,,,,
29-4-24,134,42942.99,57017.14,,,,,,,,,,,,
29-4-25,134,42958.66,56842.34,true,,,2,6,0,0,1,0,3,Commercial1,Yes
29-4-26,134,43127.14,56841.54,,,,,,,,,,,,
29-4-27,134,43127.02,56338.07,,,,,,,,,,,,
29-4-28,134,43124.95,56103.02,,,,,,,,,,,,
29-4-29,134,43103,56091.66,,,,,,,,,,,,
29-4-30,134,43101.8,55801.99,,,,,,,,,,,,
29-4-31,134,41659.12,57541.53,,,,,,,,,,,,
29-4-32,134,41662.51,57838.15,,,,,,,,,,,,
29-4-33,134,41665.6,58149.61,,true,0,,,,,,,,,
29-4-34,134,42017.04,58160.07,,true,0,,,,,,,,,
29-4-35,134,42042.51,58212.69,,true,0,,,,,,,,,
29-4-36,134,42263.85,58118.42,,,,,,,,,,,,
29-4-37,134,42311.33,58274.14,,,,,,,,,,,,
29-4-37.1,134,42342.66,58278.35,,,,,,,,,,,,
29-4-37.2,134,42411.99,58242.79,,,,,,,,,,,,
29-4-37.3,134,42472.6,58223.84,,,,,,,,,,,,
29-4-38,134,42531.79,58177.74,,,,,,,,,,,,
29-4-39,134,42718.02,58170.32,true,,,2,38,0,0,1,0,3,Daily1,Yes
29-4-40,134,42712.5,58150.38,false,true,0,,,,,,,,,
29-4-40.1,134,42718.72,58156.31,,true,0,,,,,,,,,
29-4-40A,134,42713.254,58153.203,,true,0,,,,,,,,,
29-4-41,134,42661.65,57977.92,,,,,,,,,,,,
29-4-42,134,42643.94,57820.58,,,,,,,,,,,,
29-4-43,134,42617.77,57800.55,,true,0,,,,,,,,,
29-4-44,134,42616.8,57685.02,,,,,,,,,,,,
29-4-45,134,42679.17,57443.6,,,,,,,,,,,,
29-4-46,134,42728.19,57175.04,,,,,,,,,,,,
29-4-47,134,42729.62,57022.15,,,,,,,,,,,,
29-4-48,134,42949.1,57021.04,,,,,,,,,,,,
29-4-49,134,42959.49,56852.06,,,,,,,,,,,,
29-4-50,134,43037.38,56851.11,,,,,,,,,,,,
29-4-51,134,43033.75,56572.92,,,,,,,,,,,,
29-4-52,134,43130.83,56570.27,,,,,,,,,,,,
29-4-53,134,43132.62,56393.44,,,,,,,,,,,,
29-4-54,134,43135.44,56142.26,true,,,2,0,0,0,1,0,3,Commercial1,Yes
29-4-55,134,43132.48,56088.93,,,,,,,,,,,,
29-4-56,134,43112.76,56074.65,,,,,,,,,,,,
29-4-57,134,43106.55,55811.23,,,,,,,,,,,,
29-4-58,134,43104.66,55535.11,true,,,2,77,0,0,1,0,3,Commercial1,Yes
3-1-117,134,49542.35,44888.41,true,true,0,2,182,0,0,1,0,3,Daily1,Yes
3-1-118,134,49582.57,44887.35,true,,,2,36,0,0,1,0,3,Daily1,Yes
3-1-119,134,49979.86,44888.3,,,,,,,,,,,,
