name,id,x,y,ground_elevation,invert_elevation,node_type
27-4-49,134,54525.52,56791.46,4824.03,4814.72,19
28-1-21,134,44648.6,57590.91,4493.54,4484.21,19
28-1-30,134,44852.39,57506.02,4495.91,4485.77,
28-1-30.1,134,44925.85,57424.76,4498.65,4487.61,19
28-1-31,134,44976.51,57368.08,4499.74,4488.86,19
28-1-33,134,45035.02,57298.79,4500.74,4490,19
28-1-37,134,45236.36,57069.9,4507.1,4494.14,
28-1-38,134,45369.69,57057.28,4507.76,4495.63,19
28-1-49,134,45578.29,57040.07,4509.58,4498.54,
28-1-50,134,45655.03,57027.14,4510.69,4499.35,19
28-1-53,134,45757.42,57011.56,4512.22,4500.8,19
28-1-55,134,45776.61,57006.96,4512.56,4501.08,19
28-1-56,134,46028.79,56878.64,4516.98,4505.74,19
28-1-60,134,46132.31,56865.84,4519.77,4507.84,19
28-1-66,134,46630.95,56809.97,4527.11,4516.92,19
28-1-74,134,46648.69,56807.46,4527.19,4517.15,19
28-1-75,134,46669.69,56802.11,4527.18,4517.56,19
28-1-77,134,46844.45,56751.25,4529.16,4521.16,19
28-1-83,134,44497.98,58442,4482.87,4472.28,
28-1-84,134,44563.23,58201.64,4489.83,4473.78,
28-1-85,134,44503.37,58075.66,4488.91,4474.35,19
28-1-86,134,44428.18,57935.4,4489.2,4475.05,
28-1-87,134,44448.93,57872.39,4490.59,4475.86,19
28-1-88,134,44415.82,57611.63,4489.96,4476.86,19
28-1-89,134,44475.61,57604.61,4490.66,4482.11,
